Old_name,New_name
Bowerbankia gracilis,Amathia gracilis
Ciona roulii,Ciona roulei
Harmothoe cf. impar,Harmothoe impar
Idotea baltica,Idotea balthica
Siphonenteron bilineatum,Lineus bilineatus
Limecola balthica,Macoma balthica
Spirontocaris phippsii,Spirontocaris phippsi
Gibbula cineraria,Steromphala cineraria
Amphiporus Allucens,Amphiporus allucens
Botrylloides leachi,Botrylloides leachii
Cryptosula pallasiana complex,Cryptosula pallasiana
Halisarca dujardini,Halisarca dujardinii
Chiton olivaceus,Rhyssoplax olivacea
